alloy,Fe,Ni,Co,Cr,V,Cu,VEC,AR1,AR2,PE,Density,TermalC,MP,FI,SI,TI,M,TEC,TC,MS,MagS
,0.0,0.2,0.8,0.0,0.0,0.0,9.200653717165185,135.0,125.00000000000001,1.8860196115149557,8901.605229737323,98.19411654551337,1759.973851313393,755.7327945387378,1669.386404964165,3264.9463597827753,1.4952678367749954,12.77,1303.40884682594,1.36854624063188,0.0140748846881542
,0.0,0.15,0.85,0.0,0.0,0.0,9.150521037306952,135.0,125.0,1.8845156311192084,8901.204168298455,98.64531066423741,1761.9791585077219,756.8988806722402,1664.1405213437995,3256.789772769841,1.5514164382162132,12.48,1326.29318926787,1.37372288958298,0.0163907590150328
,0.0,0.1,0.9,0.0,0.0,0.0,9.1003678662057,135.0,125.0,1.883011035986171,8900.802942929646,99.09668920414873,1763.985285351772,758.0654434320554,1658.8924935197645,3248.6298518316676,1.6075879898496177,12.61,1349.2073085585,1.37308033946987,0.0185464813069009
,0.0,0.05,0.95,0.0,0.0,0.0,9.050194191295459,135.0,124.99999999999999,1.8815058257388635,8900.401553530362,99.54825227834085,1765.9922323481815,759.2324831104676,1653.642320177157,3240.4665949237715,1.6637825057490843,12.32,1372.34780494051,1.36562603262599,0.0217190865923236
FeNiCo,0.801,0.1,0.099,0.0,0.0,0.0,8.286989133580633,139.04561725919396,124.19087654816121,1.8424272049706436,8070.608239096759,82.95251769444943,1289.2000303538543,759.8393068084506,1589.3399869167374,3025.509480737257,2.0169156302496423,9.53,1107.25055830324,2.24552747321591,0.0260863483511733
,0.701,0.2,0.099,0.0,0.0,0.0,8.481574780942399,138.55798618840933,124.28840276231816,1.8502152986746352,8171.446610287405,84.02950707874443,1342.565540735777,757.3798251288014,1607.825999958435,3068.1110067914237,1.8594459579817597,10.41,1087.29798623916,2.16747386408607,0.0232523999399238
,0.65,0.25,0.1,0.0,0.0,0.0,8.580583495045463,138.30745299585,124.33850940083002,1.8541876928679641,8223.24723800531,84.59152116866099,1370.0220545185948,756.1386421088305,1617.2227211435966,3089.8416894170236,1.7796223140636855,9.58,1078.30393117494,2.12669052879013,0.0208460027264155
,0.62,0.28,0.1,0.0,0.0,0.0,8.63962885200808,138.159481914772,124.36810361704559,1.8565509379011542,8253.846512968485,84.9183452262497,1386.2158138072684,755.3923485474883,1622.8321305183385,3102.768840054231,1.7318399283192218,8.06,1072.0869210359,2.1000628853642,0.0197716547098335
,0.601,0.3,0.099,0.0,0.0,0.0,8.678086867080262,138.0655274676108,124.38689450647786,1.858080496141965,8273.283302531087,85.11715888413511,1396.4593808783973,754.8959940639786,1626.4950284117099,3111.134296900773,1.700417302886371,1.21,538.247487758811,1.96661900168787,0.04052645733246171
,0.58,0.32,0.1,0.0,0.0,0.0,8.718629074913547,137.96150278499684,124.40769944300064,1.8597128611074192,8294.787065573955,85.35562217279647,1407.8823877648558,754.3938389146944,1630.3372861100515,3120.064827993105,1.6679090907572205,3.24,574.628922584538,1.98226182972423,0.03774240082976179
,0.55,0.35,0.1,0.0,0.0,0.0,8.778085068711185,137.81250262424967,124.43749947515006,1.8620925415643368,8325.599146252453,85.68471916095113,1424.1887681706414,753.6423551802077,1635.9857066828029,3133.081881791147,1.6197943976365101,6.03,624.974911306618,1.98594064014591,0.03389423894276756
,0.501,0.4,0.099,0.0,0.0,0.0,8.876554142535134,137.56816904802582,124.48636619039486,1.8660239480839511,8376.133214962229,86.21563223863416,1450.8894356761589,752.3874502190995,1645.3498036335836,3154.5856455527673,1.5398063984054522,8.72,701.020700215293,1.95845626534456,0.02823003257748024
,0.4,0.5,0.1,0.0,0.0,0.0,9.078040488957482,137.0607969848521,124.58784060302958,1.874098026729316,8481.046057795773,87.3450130872405,1506.4544385412478,749.8511206050458,1664.481981968252,3198.7529032133016,1.37705582624596,11.09,827.279635785443,1.82677943915404,0.018888927263018218
,0.3,0.6,0.1,0.0,0.0,0.0,9.280522893964559,136.55336436170558,124.68932712765891,1.8822022293721148,8585.97919910847,88.46578065642686,1561.9871932835433,747.2918793214765,1683.718154959571,3243.0835785713616,1.2131971779082098,12.1,905.293476391096,1.60529648496114,0.011795988442695065
,0.2,0.7,0.1,0.0,0.0,0.0,9.485050522925492,136.04080628898822,124.79183874220233,1.8903882905318115,8691.9722437454,89.59786881753887,1618.0808704438568,744.7067877840208,1703.148627706372,3287.8620269550815,1.047683434488908,12.76,926.127842243537,1.30067533525581,0.007303252597163771
,0.1,0.8,0.1,0.0,0.0,0.0,9.69165452057363,135.5230447161963,124.89539105676076,1.898657456752424,8799.041331947028,90.74144996089893,1674.744011766042,742.0954523442176,1722.7763590113157,3333.095067065886,0.8804893921491963,12.79,879.117551695555,0.947762953124386,0.004845823244250516
,0.701,0.1,0.199,0.0,0.0,0.0,8.384746768592223,138.55938623352588,124.28812275329481,1.847304858123663,8170.386937002867,84.89283892821985,1346.2630955721647,759.6261113048622,1597.6993013196306,3052.3256721696334,1.9677197262195005,9.85,1192.46615862341,2.3207734523609,0.024502126387198
,0.602,0.2,0.198,0.0,0.0,0.0,8.579858986953786,138.07167817699099,124.3856643646018,1.8551090569006492,8271.24519506026,85.96553569086808,1399.617197127176,757.154707849367,1616.2401186635516,3095.0145988857025,1.8096698406648755,10.36,1176.31381986484,2.23516200298584,0.0207420097266004
,0.551,0.25,0.199,0.0,0.0,0.0,8.679642384792635,137.81858218952357,124.43628356209527,1.8591149427856848,8323.573805291338,86.53544183762949,1427.3640980420373,755.9063668105223,1625.708046245609,3116.9288316728525,1.729296337531323,9.81,1169.25656448452,2.18800589305434,0.0186936175915945
,0.522,0.28,0.198,0.0,0.0,0.0,8.738138775946325,137.67407492394437,124.46518501521115,1.8614478635826126,8353.463455692501,86.84711645760585,1443.1454534995255,755.1581625438125,1631.2733336725132,3129.688937553156,1.681699280371018,7.04,639.090141404328,2.20375376233487,0.03848468854586154
,0.501,0.3,0.199,0.0,0.0,0.0,8.778919329667778,137.56918966484898,124.48616206703022,1.8630908212306376,8375.144338874094,87.088425976866,1454.6668428412288,754.6541105922976,1635.1372221074453,3138.677558857737,1.6490308323308185,8.023,674.201311332636,2.2031757863579,0.03581319120344292
,0.451,0.35,0.199,0.0,0.0,0.0,8.878691579348455,137.31855289040328,124.53628942191936,1.8670865358188409,8426.972164148689,87.64416902152509,1482.1058043694948,753.395606714826,1644.6134412795132,3160.5347930993453,1.5683648727197292,9.94,752.140358406682,2.16596301366734,0.02980278870196424
,0.401,0.4,0.199,0.0,0.0,0.0,8.978962849808664,137.06666253132892,124.58666749373423,1.8711022353689444,8479.059211419904,88.20269167001439,1509.682004579009,752.1308083056786,1654.1370566994697,3182.501348460849,1.487295454329513,11.39,820.25139846244,2.09361517851261,0.024591619655080534
,0.301,0.5,0.199,0.0,0.0,0.0,9.181017503756035,136.55908325062515,124.68818334987499,1.8791941921101807,8584.01879020277,89.32815961256986,1565.2502602213658,749.5821380464854,1673.327905774936,3226.7657197170793,1.3239340727157238,12.16,922.172893410553,1.87003909688537,0.016003742390181604
,0.201,0.6,0.199,0.0,0.0,0.0,9.385113773077263,136.0463752503265,124.79072494993471,1.8873679121910116,8690.038909218143,90.46499959041094,1621.3799926859663,747.0077153273392,1692.7126644275604,3271.4773502623448,1.1589220431129788,12.55,969.989372194755,1.55815255592268,0.009817950248999372
,0.101,0.7,0.199,0.0,0.0,0.0,9.591282758455737,135.52846040274727,124.89430791945055,1.8956246411426831,8797.135724068306,91.6133848379643,1678.079755157265,744.4071478514768,1712.2942865537743,3316.6430533631005,0.9922342205889164,12.57,953.155988278118,1.18297684647626,0.005747421338178033
,0.601,0.1,0.299,0.0,0.0,0.0,8.48355033605227,138.06795290517186,124.38640941896563,1.8522346984608806,8271.233191195424,86.85392012553268,1403.936692249356,759.4106347713058,1606.1480540378009,3079.4287764836477,1.9179974633801447,9.91,1266.97386329642,2.35583067202117,0.0226007669397292
,0.551,0.15,0.299,0.0,0.0,0.0,8.58213320334777,137.81969998585868,124.43606000282824,1.8561851961569982,8322.566148505955,87.40654125188973,1431.124293639411,758.1696931500617,1615.508984543923,3101.0390045020135,1.8383680140040213,10.44,1260.35402262807,2.30856999590169,0.0205047306701019
,0.501,0.2,0.299,0.0,0.0,0.0,8.681206883788377,137.5702110932019,124.48595778135962,1.8601553621408435,8374.1546764944,87.96191370533356,1458.4472535609461,756.9225732700927,1624.9165201840704,3122.7568230609186,1.7583421145999807,10.26,1253.38536542548,2.25675503272334,0.018475026097552
,0.473,0.23,0.297,0.0,0.0,0.0,8.73886119612106,137.4299346466238,124.51401307067522,1.8624460972971364,8403.17619551636,88.25662828449234,1473.7317474685317,756.1760255458323,1630.4099642130232,3135.2849831386584,1.7111635641630576,9.91,1247.4334766331,2.2227841382994,0.0173022837895228
